Summary,Description,Work Type,Status,Work Item ID,Parent,Labels
"RHOAI 3.x Disconnected SNO Installation","Install Red Hat OpenShift AI (RHOAI) 3.x in a disconnected environment on a two-node cluster: one Single-Node OpenShift (SNO) control plane plus one worker node using two HP servers with NVIDIA A100 GPUs. Image flow is script-based: pull -> scan -> quarantine -> manual import to Artifactory (no oc-mirror).",Epic,To Do,1,,rhoai;disconnected;sno;installation
"Architecture and Scope","Define the chosen topology and disconnected environment constraints.",Epic,To Do,2,1,rhoai;architecture
"Two HP Servers - One SNO + One Worker Node","Chosen topology: Install OpenShift with one control plane node (SNO-style) on the first HP server and one worker node on the second HP server. Both nodes are part of the same cluster. The SNO acts as control plane + worker; the second node is a dedicated worker. Satisfies RHOAI minimum 2 worker nodes requirement.",Story,To Do,3,2,topology;sno;worker
"Disconnected Environment Setup","No internet access from the cluster. All container images brought in via manual image pipeline: pull by script on connected host -> scan -> quarantine -> manual import to Artifactory. oc-mirror is NOT used. Operator installation via Kustomize artifacts from separate repository.",Story,To Do,4,2,disconnected;images;artifactory
"Prerequisites","All prerequisites before starting the installation.",Epic,To Do,5,1,prerequisites
"Red Hat and Subscriptions","Red Hat account with OpenShift Cluster Manager access. OpenShift subscription. RHOAI subscription (Red Hat OpenShift AI Self-Managed). Pull secret from console.redhat.com including Artifactory credentials.",Story,To Do,6,5,redhat;subscriptions
"OpenShift Cluster Requirements","OpenShift 4.20 (stable). One control plane node (SNO) + one worker node. Disconnected/restricted network. Cluster admin via IdP (not kubeadmin). See INSTALLATION_PLAN.md.",Story,To Do,7,5,openshift;cluster
"Cluster Node Requirements","Control plane (SNO): 32 vCPUs min, 128 GiB RAM min, NVIDIA A100. Worker: 8 vCPUs min (32+ recommended), 32 GiB RAM min (64+ recommended), NVIDIA A100. Both via NVIDIA GPU Operator.",Story,To Do,8,5,hardware;gpu
"Image Acquisition Host (Internet-Connected)","Linux host for pull script. 100 GB free disk. Access to quay.io, registry.redhat.io, registry.access.redhat.com. Tools: skopeo, podman, or crane. Red Hat pull secret. Image list from imageset-rhoai.yaml or rhoai-disconnected-install-helper.",Story,To Do,9,5,images;connected
"Scan Quarantine and Artifactory","Vulnerability/compliance scans on all pulled images. Quarantine until approved. Artifactory as target registry in disconnected network. Reachable by both control plane and worker. Enough storage for platform, operator, and RHOAI images.",Story,To Do,10,5,scan;quarantine;artifactory
"Storage and Identity","Default StorageClass with dynamic provisioning. IdP and cluster-admin user (kubeadmin not allowed). Open Data Hub must NOT be installed.",Story,To Do,11,5,storage;identity
"MetalLB for Bare Metal","Required for LoadBalancer Services on bare metal. MetalLB Operator from Kustomize. Create IPAddressPool with routable IP range. Install before or with RHOAI. imageset-rhoai.yaml includes metallb-operator package.",Story,To Do,12,5,metallb;loadbalancer
"Optional A100/RHOAI Components","Object storage (S3-compatible). NVIDIA GPU Operator. Node Feature Discovery (NFD) Operator. cert-manager for model serving (KServe).",Story,To Do,13,5,optional;gpu;nfd
